Schedule,SLC,Heading,Description,Section Description
10,10 6021 01,PLUS:  Other Comprehensive Income for Year (SLC 76  0840 20),New line. Linked from schedule 76 0840 20.,Minor Changes:
54B,54B 2023 01,Accretion Expense,Linked from Schedule 74E line 9910 column 5.,Minor Changes:
70,70 6432 01,Remeasurement Gains (Losses),Linked from Schedule 71 line 9910 column 1.,Minor Changes:
76,76 0297 01,Other,Text Box Added.,Minor Changes:
76,76 0497 01,Other,Text Box Added.,Minor Changes:
76,76 0830 xx,Net Income (Loss) Before Other Comprehensive Income,New Subtotal Line Added.,Minor Changes:
76,76 0840 xx,Other Comprehensive Income,"New line. ""Other Comprehensive Income"" Added.",Minor Changes:
76,76 9920 xx,Net Income (Loss) and Other Comprehensive Income,"Line description updated. Line 9920 calculation updated to Net Income
(Loss) Before Other Comprehensive Income + Other Comprehensive Income.",Minor Changes:
