Schedule,SLC,Heading,Description,Section Description
70,70 0891 01,Other Financial Assets,"Report the amount for ""Other"" on SLC 70 0891 01.",
70,70 6261 01,Non-Financial Assets,"Report the amount for ""Intangible Assets"" on SLC 70 6261 01.",
70,70 6262 01,Non-Financial Assets,"Report the amount for ""Other"" on SLC 70 6262 01.",
70,70 6411 01,Analysis of Accumulated Surplus (Deficit),"Report the amount for ""Investment in Intangible Assets"" on SLC 70 6411 01.",
70,70 6412 01,Analysis of Accumulated Surplus (Deficit),"Report the amount for ""Other"" on SLC 70 6412 01.",
72B,72 1000 xx,Continuity of Taxes Receivable,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.","The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1010 xx,Continuity of Taxes Receivable,Write-off of taxes (Mun. Act 354) on line 1010.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1020 xx,Continuity of Taxes Receivable,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.","The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1030 xx,Continuity of Taxes Receivable,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.","The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1040 xx,Continuity of Taxes Receivable,"ARB decisions, Advisory Notice of Adjustment due to an ARB decisions (Assessment Act 40/19.1(7)) on line 1040.","The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1050 xx,Continuity of Taxes Receivable,RfR (Assessment Act 39.1) on line 1050.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1060 xx,Continuity of Taxes Receivable,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.","The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1070 xx,Continuity of Taxes Receivable,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1080 xx,Continuity of Taxes Receivable,Special Amended Notice (SAN) (Assessment Act) on line 1080.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1090 xx,Continuity of Taxes Receivable,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 1099 xx,Continuity of Taxes Receivable,Subtotal on line 1099 sums the line items from 1000 to 1090.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2899 xx,Continuity of Taxes Receivable,Tax adjustments before allowances on line 2899 also includes:,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2099 xx,Continuity of Taxes Receivable,Rebates for Charities (Mun. Act 361) on line 2099.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2299 xx,Continuity of Taxes Receivable,Vacant Unit Rebates (Mun. Act 364) on line 2299.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2301 xx,Continuity of Taxes Receivable,Contaminated Property (Mun. Act  365.1) on line 2301.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2399 xx,Continuity of Taxes Receivable,Reduction for Heritage Property (Mun. Act 365.2) on line 2399.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
72B,72 2400 xx,Continuity of Taxes Receivable,Change in Assessment (Mun. Act 365.3) on line 2400.,"The following Municipal and Assessment Act items will be pre-populated on Schedule 72B during April 2023.  Users that have started will have to first do a  ""Backup"" and later be notified to ""Restore"" their working version of the FIR 2022 template."
81,81 2256 01,,Defered revenue earned (Community Benefits) on SLC 81 2256 01 is referenced to SLC 10 1815 01.,
