Schedule,SLC,Heading,Description,Section Description
72B,72 1030 xx,Continuity of Taxes Receivable,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1040 xx,Continuity of Taxes Receivable,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1050 xx,Continuity of Taxes Receivable,RfR (Assessment Act 39.1) on line 1050.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1060 xx,Continuity of Taxes Receivable,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.",The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1070 xx,Continuity of Taxes Receivable,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1080 xx,Continuity of Taxes Receivable,Special Amended Notice (SAN) (Assessment Act) on line 1080.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1090 xx,Continuity of Taxes Receivable,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 1099 xx,Continuity of Taxes Receivable,Subtotal on line 1099 sums the line items in 1000 to 1090.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2899 xx,Continuity of Taxes Receivable,Tax adjustments before allowances on line 2899 also includes:,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2301 xx,Continuity of Taxes Receivable,Contaminated Property (Mun. Act  365.1) on line 2301.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
72B,72 2400 xx,Continuity of Taxes Receivable,Change in Assessment (Mun. Act 365.3) on line 2400.,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.
