schedule,column_id,column_name,description,valid_from_year,valid_to_year,change_notes
20,11,Exclude Properties That Go from Clawed Back to Capped,Please indicate which of these capping parameters have been implemented in the municipality by entering Y for Yes and N for No in column 11.,,,
22,01,RTC / RTQ,"This refers to the 2-digit code of the property class, and tax rate applicable to the assessment on a property. The first digit represents the Realty Tax Class (RTC) and refers to the property class. The second digit represents the Realty Tax Qualifier (RTQ) and refers to the tax rate that is applied to the property.

The RTQ describes which of the following ways the Tax Rate is applied:

1. Full tax rate

2. Discounted tax rate

   - i. Excess Land

   - ii. Vacant Land

   - iii. Farmland Awaiting Development

3. Education tax rate only

4. General tax rate only

For RTC / RTQ codes that refer to optional property classes, municipalities should report these whether the class is ‘in effect’ or not.  They should not be aggregated with the ‘broad’ Commercial or Industrial class.  This allows the optional property class properties to be identified regardless of whether the optional class is in effect.

Please refer to the FIR2025 Tables document for a complete list of applicable RTC / RTQ combinations. New Construction classes have been formed under the Commercial and Industrial property class.  RTC codes and RTQ codes available at the FIR website:

https://efis.fma.csc.gov.on.ca/fir/index.php/municipal-reporting/additional-information/",,,
22,02,Tax Band,"Municipalities have been provided with the option of applying graduated tax rates, often referred to as Tax Banding, in the commercial and industrial property classes. This means that municipalities can apply different tax rates to tax bands, or different ranges of assessment within a property class.  Please refer to Section 3 of Schedule 20 in these instructions, for further information on Tax Bands.

Municipalities must enter 0, L, M, or H in this column as explained in the instructions below:

For municipalities who have NOT adopted tax banding in a property class, a zero, ‘0', should be reported on each line in this column.  An entry of ‘0' represents an ‘Unbanded’ tax rate.

For municipalities who have adopted tax banding, by either creating 2 or 3 Tax Bands of assessment value (CVA) to which different tax rates are applied, the following tables outline the entries available for this column:

**==> picture [341 x 116] intentionally omitted <==**

**----- Start of picture text -----**<br>
No Tax Bands<br>Tax Band  Enter<br>Un-banded  0<br>2 Tax Bands<br>Tax Band Enter<br>Low tax band  L<br>High tax band  H<br>**----- End of picture text -----**<br>",,,
22,03,Property Class,"The name of the property class in this column corresponds to the Realty Tax Class (RTC) code, which is the first letter of the RTC / RTQ Code in column 1.  (See FIR2025 Tables)",,,
22,04,Tax Rate Description,"This column describes the tax rate that is applied to a property class and corresponds to the Realty Tax Qualifier (RTQ) code, which is the second letter of the RTC / RTQ Code in column 1.  (See FIR2025 Tables)",,,
22,05,Tax Ratio,"The Tax Ratio defines the relationship between the Tax Rate of each property class in relation to the Residential property class (RT).  For example, if the Residential tax rate is 2% and the Commercial tax rate (CT) is 4% twice that of the Residential tax rate, then the Commercial tax ratio is 2.0000:

**==> picture [294 x 46] intentionally omitted <==**

All Tax Ratios are now expressed as a decimal to 6 decimal places. The tax ratio for the Residential (RTC = R) property class is always 1.0000, and the tax ratio for the Farmland (RTC = F), and Managed Forest (RTC = T) property classes is always 0.2500.

Each property class, and similarly, each RTC code, must have a tax ratio associated with it.  It is also worth noting that the Tax Ratio remains constant within a property class.  For example, a Commercial Tax Ratio of 2.0000 applies to CT, CU and CX (CU, and CX usually have a 70% discount as described in column 6).

Please refer to the FIR2025 Tables document for a complete list of RTC Codes which shows the relationship between the RTC Code (or property class) and the tax ratio.

Please note the exceptions that exist when optional classes are in effect.",,,
22,06,Percent of Full Rate,"This column captures information relating to discounted tax rates, and tax banding of the tax rates. These can be summarized into the following 3 cases:

|**Types of Tax Rate Discounts**|**Options**|
|---|---|
|Vacant Land or Excess Land|Excess Land Rate (RTQ = U)<br>Vacant Land Rate (RTQ=X)|
|Farmland Awaiting Development|Phase 1 (RTQ = 1)<br>Phase 2 (RTQ=4)|
|Tax Banding (Percent of Full Unbanded Rate)|Low Tax Band (Tax Band = L)<br>Middle Tax Band (Tax Band = M)<br>High Tax Band (Tax Band=H)|

Notice that the first 2 cases relate to the RTQ of a property, while the 3rd case refers to the Tax Band.

For municipalities who have opted for tax banding of tax rates, it may be possible to have case 1 and 3 occurring at the same time (i.e. RTQ = U, X and Tax Band = L, M, H).

Remember, every tax rate is determined by the following relationship with the Residential tax rate:",,,
22,07,CVA Assessment,"The total current value assessment (CVA) associated with each property class is entered in this column.

Column 7 is pre-populated for the user in this taxable general-purpose levy schedule.  If the CVA assessment is incorrect, please delete the pre-populated amount and enter the correct information.

For those municipalities that have multiple general levy areas, you will enter the 2025 Base CVA at 2016 Roll Return. (CVA assessment is currently frozen at 2016 Roll Return)

Each taxable RTC / RTQ Code and Tax Band combination that is applicable in a municipality should have a record shown in this schedule.

Please note that Hydro properties represented by RTQ = H, J, or K are reported in this column as Taxable Assessment.",,,
22,16,Phase-In Taxable Assessment,"The phase-in taxable assessment associated with each property class is entered in this column.  Each taxable RTC / RTQ Code and Tax Band combination that is applicable in a municipality should have a record shown in this schedule.

Column 16 is pre-populated for the user in the taxable general-purpose levy schedule. The information has been pre-populated from OPTA. If the phase-in taxable assessment is incorrect, please delete the pre-populated amount and enter the correct information.

The phase-in taxable assessment amounts reported in this column will be applied to the Tax Rates reported in columns 8 to 11 to arrive at the Taxation amounts in columns 12 to 15 in this schedule.

Please note that Hydro properties represented by RTQ = H, J, or K are reported in this column as Taxable Assessment.",,,
22,08,Tax Rates:  Lower-Tier / Single-Tier,"All Lower-tier (LT) and Single-tier (ST) municipalities should enter tax rates in this column.

Column 8 is pre-populated for the user in this taxable general-purpose levy schedule

All tax rates that have been applied in the municipality for Lower-tier or Single-tier purposes should appear in this column.

The tax rates should be entered as a Percentage to 6 decimal places into the appropriate column based on the purpose of the tax rate.",,,
