schedule,column_id,column_name,description,valid_from_year,valid_to_year,change_notes
72,09,Total Tax Adjustments,Total tax adjustments are equal to the sum of columns 6 through 8.,,,
40,01,"Salaries, Wages, and Employee Benefits","Salaries, wages, and employee benefits include expenses incurred for the following purposes: full time, part time and temporary salaries and wages including, regular, overtime, shift premiums and other remuneration to employees.

Benefits include employer’s contribution payments to Canada Pension Plan (CPP), Ontario Municipal Employee Retirement System (OMERS), Employer’s Health Tax, Employment Insurance (EI), Workplace Safety and Insurance Board (WSIB) and any other insurance plans, such as supplementary health and dental.

Include clothing, moving, tuition, housing and other employee benefits and allowances paid.

Include funded and unfunded post employment benefits in the amount for salaries, wages, and employee benefits for each sub function.",,,
40,02,Interest on Long-Term Debt,"This column records interest incurred on long term liabilities and for leased tangible capital assets.

Exclude interest payments made by unconsolidated entities.

Exclude interest payments made from reserve funds.

For tile drainage/shoreline assistance, only interest on long term debt is reported in Schedule 40. Corresponding revenue is reported in SLC 12 1850 04.  Principal repayments are not reported in Schedule 40 and the corresponding revenue is not reported in Schedule 12.  Note that the long-term receivable and long-term debt are reduced by the principal repayment in the year.",,,
40,03,Materials (and all Other Expenses Not Reported in Other Columns),"This column is used to report materials purchased by a municipality for its own uses and/or disposal or resale.  Materials purchased by the municipality which are subsequently provided to a third party are also included in this column.

Please note that the purchase of hydro services and utilities including cell phone service are reported in column 3 as materials.

Include all other expenses not reported in other columns as materials.  For example, include expenses for insurance, travel, reimbursement of mileage, and photocopying.",,,
40,04,Contracted Services,"When a municipality is responsible for providing a service and contracts out service delivery; in part or in whole, to an arms length service provider, use column 4 to report payments to the service provider.

The arm’s length service provider may be a private contractor, another municipality, or another level of government.

If services are provided in part by an arms length service provider and in part by municipal staff, column 4 is used to report services provided by the contractor.  Services provided by municipal staff are not reported in column 4 but are reported using other object categories of expenses.

If a municipality is invoiced by a Consolidated Municipal Service Manager (CMSM) for services, the amount invoiced is reported as contracted services.

If a CMSM decides to meet its service responsibilities (e.g., ambulance and childcare) through a purchase of service agreement with an arms length service provider, the CMSM reports the purchased service as a contracted service.

If a municipality is legislated to provide a service and the service is provided through a legislated body, such as a conservation authority, the payment is reported as an External transfer in column 6.

For contracts which extend beyond the current fiscal year, report only that portion of the contract that relates to the current fiscal year.

Examples of services that may be provided by way of a contract with an arms length service provider:

- Communications planning and research activities

- Consulting: Information technology consulting and professional services (services related to electronic data processing, telecommunications, or office automation)

- Consulting:  Management consulting and professional services (services related to planning, organizing, directing, and controlling activities to assist managers in analysing management problems and recommending solutions)

- Consulting:  Technical consulting and professional services (services related to accounting, actuarial sciences, architecture, appraisal, community planning, employment/placement, engineering, health science, surveys)

- Data processing services

- Fence viewing

- Legal services

- Medical and other professional services provided by the municipality but contracted with providers such as doctors, dentists, veterinarians, and nursing services.

- Research and development services, e.g., research services provided by a university.

- Solid waste:  collection, disposal

- Snow removal services

- Weed cutting.

- MPAC Services",,,
40,05,"Rents, Financial Expenses, &Accretion Expense","Rents and financial expenses paid to external parties are recorded in column 5. Include the rental of buildings, land, machinery, equipment, and engineering structures.

Where a contracted service reported in column 4 (Contracted services) includes a separate and easily identifiable rental component, report the rental component in this column.

Financial expenses include short-term borrowing costs, bank and credit card service charges, annual payments associated with financing leases not deemed to be capital tangible lease and any other financial costs from external sources. Include losses on disposal of tangible capital assets.

Do not include interest paid on long term liabilities since interest should be reported in column 2 (Long term debt charges   Interest).

Do not include interdepartmental rents and financial expenses in column 5 since these are captured in column 10 (Inter functional adjustments).

Report accretion expense in this column.  Accretion expense accounts for the increase in liability balances that results from the passage of time (e.g., asset retirement obligation liability). Any asset retirement liability costs that were expensed rather than capitalized should also be recorded in this column.",,,
40,06,External transfers,"Include transfers to:

- **Charitable organizations, colleges, cultural or recreation organizations, hospitals, universities, and public health services (i.e., public health units).**

- **Conservation authorities**

- **Individuals, i.e., social assistance**

- **Unconsolidated local boards**",,,
40,16,Amortization,"This column records the annual amortization expense for tangible capital assets. Amortization amounts are automatically populated from schedule 51A column 8. Amortization expense on schedule 40 column 16 may be adjusted based on the municipality’s functional costing.

Schedule 40-line 0260 column 16 - no amount should be entered for amortization under program support.",,,
40,07,Total Expenses Before Adjustments,The subtotal is equal to the sum of columns one through six plus column 16.,,,
40,12,Inter-Functional Adjustments,"For a complete discussion of the allocation of program support, please see section 14, Allocation of Indirect Costs, in the Introduction to the FIR instructions.

Column 12 is used only to record transfers between sub-functions below general government.  A separate column, column 13, is provided for the allocation of program support to other sub-functions.

Municipalities should not use SLC 40 0240 12 (governance line, inter-functional adjustments column) or SLC 40 0250 12 (corporate management line, inte-rfunctional adjustments column) to record indirect costs to be allocated downwards in Schedule 40 to other sub-functions.  Generally, any negative values entered on the governance and corporate management lines in column 12 would represent amounts to be allocated to other sub-functions.

When the inter-functional adjustments column is used to record both inter departmental transfers and the allocation of indirect costs, neither type of transaction can be isolated. We do not know which entries represent interdepartmental transfers and which entries represent the allocation of indirect costs.  This works against the objective of transparency in financial reporting.

Please note that the inter-functional adjustments column does not contain a formula for summing expenses for salaries, wages, and employee benefits; materials; and contracted services.  It is a stand-alone column separate from those expense categories.  Therefore, the content of expenses reported as inter-functional adjustments for governance in SLC 40 0240 12 and for corporate management in SLC 40 0250 12 is unknown.

In addition, there is no standardized method for allocating inter-functional adjustments reported on the governance and corporate management lines to sub-functions.  Note that inter-functional adjustments reported on the program support line in SLC 40 0260 12 do form part of the total to be allocated to other sub-functions in SLC 40 0260 13.",,,
40,13,Allocation of Program Support,"The program support line in Schedule 40, line 0260, is used to report indirect costs that can be easily allocated to other sub-functions.  In comparison, the corporate management line, line 0250, is used to record indirect costs that are not easily allocated to other sub-functions. Please see the chapter on Functional Categories for a discussion of the differences between these two lines.

Municipalities report the amount of program support to be allocated to other subfunctions in column 13.

Please see section 14 on the Allocation of Indirect Costs in the Introduction to the FIR instructions for further details.",,,
40,11,Total Expenses after Adjustments,Total expenses are equal to the sum of:,,,
51A,01,Opening Net Book Value of Tangible Capital Assets,This column is automatically populated from the previous year’s closing Net Book Value of tangible capital assets.,,,
51A,02,Opening Cost Balance,"Column 2 includes the opening balance of the cost of assets.  This column is automatically pre-populated from the previous year’s closing cost balance. However, the amounts in this column can be edited if needed (as described in the section above “Transfers between functional categories”).",,,
51A,03,Additions and Betterments,"Column 3 includes all costs related to the purchase, construction, and development of tangible capital assets as per PS 3150 Tangible capital assets. This also includes donated/contributed tangible capital assets and betterments.",,,
51A,14,ARO Increase in TCA Cost,"In column 14, record the asset retirement obligation costs for any tangible capital assets that are purchased, or constructed In the current year.

Column 14 may also be used to record an increase in the carrying cost of a tangible capital asset that relates to an increase in the estimate of the asset retirement obligation liability.  A decrease in the estimate of the asset retirement obligation liability should be recorded in Column 5, Write Downs.

IMPORTANT: Accretion expense is considered an operating expense rather than a capital expense.  Accretion expense is the non-cash cost due to the passage of time, resulting in the gradual increase of the present value of the asset retirement obligation liability.  Accretion expense should be recorded in Schedule 40, Statement of Operations: Expenses, in Column 5 Rents, Financial Expenses, & Accretion Expense, and not in this schedule.",,,
51A,04,Disposals,"In Column 4, record the cost for assets that were sold, traded-in, destroyed, lost, or abandoned. These amounts should be recorded as positive values.",,,
51A,05,Write Downs,"In Column 5, record the permanent decline in the value of tangible capital assets. These amounts should be recorded as positive values.

This column should be used to record any decreases in the carrying value of a tangible capital assets that relate to a decrease in the estimate of the asset retirement obligation liability.",,,
51A,06,Closing Cost Balance,"The year-end closing cost balance is automatically calculated as follows:

**Closing Cost Balance = Opening Cost Balance (Column 2) Plus:     Additions and Betterments (Column 3) Plus:     ARO Increase in TCA Cost (Column 14) Minus:   Disposals (Column 4) Minus:   Write Downs (Column 5)**",,,
51A,07,Opening Amortization Balance,"Column 7 includes the opening accumulated amortization balance. This column is automatically pre-populated from the previous year’s closing accumulated amortization balance; however, these amounts can be edited if needed. Accumulated amortization is the cumulative amortization of assets up to a certain point in time.

If an asset retirement obligation relates to an existing tangible capital asset that is included in the opening cost balance for 2023 year, please see (c) above regarding adjustments to opening tangible capital asset cost and accumulated amortization balances.",,,
51A,08,Annual amortization,"In Column 8, record the cost reported as an amortization expense in schedule 40 on column 16.",,,
51A,09,Amortization Disposal,"In Column 9, report the sum of the accumulated amortization applicable to disposals or write downs. These amounts should be recorded as positive values.",,,
51A,10,Closing Amortization Balance,"The year-end closing accumulated amortization balance is automatically calculated as follows:

**Closing Amortization Balance = Opening Amortization Balance (Column 7)**

**Plus:       Annual Amortization**

**Minus:    Amortization Disposal**",,,
51A,11,Closing Net Book Value,"The year-end closing net book value is automatically calculated as follows:

**Closing Cost Balance - Closing Amortization Balance = Closing Net Book Value Column 6 – Column 10 = Column 11**",,,
51B,01,Opening Balance,"This column is automatically populated by the ending construction-in-progress balance from the previous year. However, amounts in this column can be adjusted if needed.",,,
51B,02,Expenditures in Current Year,"In Column 2, enter the costs incurred in the current year for capital work not yet completed.",,,
51B,03,Less: Assets Capitalized,"In Column 3, enter the tangible capital assets capitalized in the current year. These amounts should be recorded as positive values.",,,
51B,04,Closing Balance,"This column is automatically calculated as follows:

**Closing Construction-in-Progress Balance = Opening Balance (Column 1) Plus:   Expenditures In Year (Column 2) Minus:   Assets Capitalized**",,,
61A,24,"Total Opening Development Charges Receivables Balance, January 1","This column is automatically populated from the previous year’s ending Development Charges Receivables balance at year end.

However, the amounts in this column can be changed, if needed, to adjust amounts across the various prescribed services.

For column 1, the balance at the beginning of the year on Line 0299 should equal the amount reported in the previous year as the balance at the end of the year.",,,
61A,17,New Development Charge Installments Receivable,Deferred (uncollected) development charges are funds that are recorded upon issuance of a building permit in the current year for specific types of developments as provided for under section 26.1 of the Development Charges Act (DCA) and are payable in equal annual instalments as per section 26.1 of the DCA. These amounts remain uncollected at year end.,,,
61A,18,New Development Charge Interest Receivable,Enter the accrued interest charges in the current year for the uncollected development charges (deferred under section 26.1 of the DCA). These amounts have not yet been collected.,,,
61A,19,Less: Prior Year Development Charges Installment Receivables and Interest Collected During the Year.,"Enter the portion of last year’s uncollected development charges, and any associated interest, which has been collected during the year. These amounts should be recorded as a positive value and will be subtracted to calculate Column 20.",,,
61A,20,Net Development Charges Receivable,This is the total amount of uncollected development charges and accrued interest at year end as per section 26.1 in the DCA.,,,
61A,25,Total Closing Development Charges Receivables Balance at December 31.,No description provided.,,,
61B,26,Total opening Development Charges: Cash Collected Balance on January 1.,"This column is automatically populated from the previous year’s ending Development Charges at year end.

However, the amounts in this column can be changed, if needed, to adjust amounts across the various prescribed services.

For column 1, the balance at the beginning of the year on Line 0299 should equal the amount reported in the previous year as the balance at the end of the year.",,,
61B,02,Development Charges Cash Collected,Enter development charges cash collected in the current year for each prescribed service in development Charges reserve funds in Column 2. These amounts have been collected.,,,
61B,03,Interest and Investment Income Earned,"Enter income from securities and other investments earned in each obligatory reserve fund during the year in Column 3. Please note that development charges reserve funds cannot be consolidated with other municipal reserve funds for investment purposes.

If reserve funds for various service categories were grouped, please enter proportional interest and investment income for each service.

This section may also include unrealized gains (losses) from fair value measurement of restricted assets.  Please refer to PS 3450 Financial Instruments on how to account for unrealized gains (losses) for restricted assets.",,,
61B,21,Repayment of Monies Borrowed from Development Charges Reserve Fund and Associated Interest,Enter the amount of borrowed development charges funds and associated interest that were paid back to each service in DC obligatory reserve funds in the current year in column 21.,,,
61B,06,Net Development Charges Cash Collected,This line includes development charges collected in the year.,,,
61B,27,"Total Development Charges Before Outflows: Cash Collected, Balance, December 31.",This line includes the opening balance of DC cash collected and the net development charges cash collected.,,,
61B,07,Development Charges Outflows to Consolidated Statement of Operations,"In Column 7, enter the money in the reserve fund spent on costs that were included in the Consolidated Statement of Operations.

This column is automatically carried forward to Schedule 60 Line 1026 Column 1.",,,
61B,08,Development Charges Outflows to Tangible Capital Asset Acquisition,"In Column 8, enter money in the reserve fund spent to acquire, construct, or develop tangible capital assets.

This column is automatically carried forward to Schedule 60 Line 1025 Column 1.",,,
61B,09,Other Disbursements,Enter Development Charges Disbursements in Column 9 that cannot be captured under other disbursements categories. Refunds of development charges can be recorded in this column.,,,
61B,23,Monies Borrowed from Development Charges Reserve Funds,Enter the amount of borrowed funds from development charges reserve funds for other municipal purposes.,,,
61B,11,Total Development Charges Outflows,"Total is automatically calculated. It is the sum of Development Charges Outflows in Columns 7, 8, 9 and 23.",,,
61B,28,Total Ending Development Charges (DC Cash Collected) at Balance December 31,"This line is automatically calculated as the Balance Beginning of Year Plus Total Development Charges Inflows: Cash Collected less Total Development Charges Outflows.

For each prescribed service in each row:

**Total Ending Development Charges Balance (DC Cash Collected) at, December 31, Column 28, equals:**

Balance, beginning of year (Column 26)

**PLUS:** Total Development Charges Inflows: – Column 27 **LESS:** Total Development Charges Outflows – Column 11

**Please note that the sum of 61B Column 28 ending balance (SLC 61B 0299 28) and 61A Column 25 ending balance (SLC 61A 0299 25) should agree to the yearend development charges reserve funds balance recorded in the financial statements.**",,,
74,04,Contingent Liabilities,"Enter Y for “Yes” if you have a contingent liability.

Enter N for “No” if you do not have a contingent liability.",,,
74,01,Is Value in Column 2 Estimated?  (Y or N),"Enter Y for ""Yes"" if the value of the contingent liability reported in column 2 is estimated. Enter N for ""No"" if the value is not an estimate.",,,
74,02,Value ($),Enter the value of each type of contingent liability listed.,,,
74,03,Number of Years Payable Over,This column applies only to line 2640 (Outstanding loans guaranteed). Report the number of years as the time from the next reporting year to the year the last loan payment is due.,,,
74,05,Increase in Liabilities Due to Accretion Expense,"Please use this column to record accretion expense related to ARO liabilities in the current year.

New for 2025 - the total amount of accretion expense from line 9910 Column 5 will automatically populate line 2023 Accretion Expense in Schedule 54B Statement of Cash Flow – Indirect Method.

According to PS 3280.08 (a), accretion expense is the increase in the carrying amount of a liability for asset retirement obligations due to the passage of time. Please note: accretion expense is considered an operating expense rather than a capital expense, so it should be recorded in Schedule 40, Statement of Operations: Expenses, in Column 5 Rents, Financial Expenses, & Accretion Expense rather than Schedule 51A Tangible Capital Assets.",,,
74,06,Increase (Decrease) Reflecting Change in the Estimate of Liability,"PS 3280.49 to .53 guides public sector entities to reconsider the carrying amount of the liability for an asset retirement obligation at each financial reporting date.

Please use this column to record any changes in the estimate of the liability that arise from a change in the timing of the settlement of the asset retirement obligation, the amount of the original estimate of undiscounted cash flows, or a change in the discount rate used to discount the cash flows that are needed to settle the liability in a future period.

Increases should be reported as positive values and decreases should be reported as negative values.",,,
74,07,Liabilities for ARO at End of Year,"For each line, the total is the sum of Column 1 to 6. This ending balance will become next year’s opening balance in Column 1. It also pre-populates SLC 70 2920 01, Liability for Asset Retirement Obligation Liabilities.",,,
74E,01,Liability for ARO at Beginning of Year,Column 1 is automatically populated from the prior year’s closing balance.,,,
74E,03,Liability Incurred During the Year,"Please use this column to record any liabilities that relate to assets that were newly purchased, constructed or developed in the current year.",,,
74E,04,Liability Settled During the Year,Please use this column to record payments made to extinguish ARO liabilities in the current year. Please record this as a positive value.,,,
74E,05,Increase in Liabilities Due to Accretion Expense,"Please use this column to record accretion expense related to ARO liabilities in the current year.

New for 2025 - the total amount of accretion expense from line 9910 Column 5 will automatically populate line 2023 Accretion Expense in Schedule 54B Statement of Cash Flow – Indirect Method.

According to PS 3280.08 (a), accretion expense is the increase in the carrying amount of a liability for asset retirement obligations due to the passage of time. Please note: accretion expense is considered an operating expense rather than a capital expense, so it should be recorded in Schedule 40, Statement of Operations: Expenses, in Column 5 Rents, Financial Expenses, & Accretion Expense rather than Schedule 51A Tangible Capital Assets.",,,
74E,06,Increase (Decrease) Reflecting Change in the Estimate of Liability,"PS 3280.49 to .53 guides public sector entities to reconsider the carrying amount of the liability for an asset retirement obligation at each financial reporting date.

Please use this column to record any changes in the estimate of the liability that arise from a change in the timing of the settlement of the asset retirement obligation, the amount of the original estimate of undiscounted cash flows, or a change in the discount rate used to discount the cash flows that are needed to settle the liability in a future period.

Increases should be reported as positive values and decreases should be reported as negative values.",,,
74E,07,Liabilities for ARO at End of Year,"For each line, the total is the sum of Column 1 to 6. This ending balance will become next year’s opening balance in Column 1. It also pre-populates SLC 70 2920 01, Liability for Asset Retirement Obligation Liabilities.",,,
80,01,Full-Time Funded Positions,"Enter the number of full-time funded positions on a permanent or contractual basis, whether they are filled or not.",,,
80,02,Part-Time Funded Positions,"Enter the number of funded positions where the employee works less than 30 hours a week, either on a permanent or contractual basis.  Include only filled positions.",,,
80,03,Seasonal Employees,Please report the actual number of seasonal employees.  Seasonal positions are those where employment recurs each year but lasts less than a year.  Example:  Staff for summer recreational programs and crossing guards.,,,
80,04,Federal,Enter the amount of sinking funds invested in federal debt.,,,
80,05,Municipality's Share of Total Municipal Contributions ($),This column applies to part (I) only. Enter the dollar amount of contributions made by your municipality to the board or entity.,,,
80,06,Municipality's Share of Total Fee Revenues,This column applies to part (I) only. Enter the dollar amount of fee revenues received by your municipality from the local board or entity.  This amount is equal to total fee revenues received by the local board or entity times the percentage reported in column 4.,,,
80D,04,Method Used to Determine Construction Value.,"Since many municipal building departments charge building permit fees based on the floor area of the building or work requiring a building permit, it is necessary to convert the building area, usually in square meters, to construction value for that particular type of construction.

Municipal methods of determining total construction value are typically based on:

- A standard value schedule, such as:

Hanscomb Yardsticks for Costing. http://www.hanscomb.com/Yardsticks.html

Toronto Area Chief Building Officials Committee (TACBOC) Construction Value Standard. http://www.tacboc.ca/about-tacboc/tacboc

Toronto Real Estate Board’s Rough/Advanced Guide to Construction Costs - - http://www.trebcommercial.com/realtor/pdf/rough_guide green_guide 2012.pdf

- Estimation; and applicant’s declared value.

A standard value schedule is the preferred method of determining construction value to improve consistency and comparability in reporting results.",,,
80D,01,"Number of Complete Applications, by Category","In column 1, report the number of building permit applications which are submitted and accepted by the municipality as complete applications for each permit category on lines 1314 to 1320.

Zero (0) may be entered in column 1 for any line if no applications for a permit category were submitted and accepted by the municipality as complete.",,,
80D,02,"Number of Incomplete Applications, by Category","In column 2, report the number of building permit applications submitted and accepted by the municipality as incomplete for each permit category on lines 1314 to 1320.

Zero (0) may be entered in column 2 for any line if no incomplete applications were submitted and accepted by the municipality for the permit category.",,,
80D,03,Subtotal: Number of Complete and Incomplete Applications,"The subtotal for the number of complete and incomplete applications, by category, is automatically calculated in column 3 for lines 1314 to 1322.

The total number of building permit applications is automatically calculated in SLC 80D 1322 03 and equals the sum of the total number of building permit applications submitted and accepted by the municipality as complete and as incomplete for all categories.

The total number of building permit applications provides a measure of volume for the processing of building permit applications. Municipalities interested in comparing their results may wish to consider the volume and application status (complete/incomplete) of building permit applications in selecting comparators.",,,
