year,schedule,slc_pattern,line_id,column_id,heading,change_type,severity,description,source
2020,72B,72 1070 xx,1070,,Continuity of Taxes Receivable,updated_line,minor,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,pdf_changelog
2020,72B,72 1080 xx,1080,,Continuity of Taxes Receivable,updated_line,minor,Special Amended Notice (SAN) (Assessment Act) on line 1080.,pdf_changelog
2020,72B,72 1090 xx,1090,,Continuity of Taxes Receivable,updated_line,minor,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,pdf_changelog
2020,72B,72 1099 xx,1099,,Continuity of Taxes Receivable,updated_line,minor,Subtotal on line 1099 sums the line items in 1000 to 1090.,pdf_changelog
2020,72B,72 2899 xx,2899,,Continuity of Taxes Receivable,updated_line,minor,Tax adjustments before allowances on line 2899 also includes:,pdf_changelog
2020,72B,72 2301 xx,2301,,Continuity of Taxes Receivable,updated_line,minor,Contaminated Property (Mun. Act  365.1) on line 2301.,pdf_changelog
2020,72B,72 2400 xx,2400,,Continuity of Taxes Receivable,updated_line,minor,Change in Assessment (Mun. Act 365.3) on line 2400.,pdf_changelog
2021,10,10 0629 01,0629,01,Own Purpose Revenue,updated_line,minor,"Report the amount for ""Provincial COVID-19 Recovery Funding"" on line 0629.",pdf_changelog
2021,10,10 0831 01,0831,01,,updated_line,minor,"SLC 10 0831 01 restated as ""Deferred revenue earned (Canada Community - Building Fund) (Federal Gas Tax) (SLC 60 1047 01 + SLC 60 1048 01)"".",pdf_changelog
2021,10,10 4099 01,4099,01,,updated_line,minor,"SLC 10 4099 01 is restated as ""Canada Community - Building Fund used for Capital Investments"".",pdf_changelog
2021,10,10 4205 01,4205,01,,updated_line,minor,"SLC 10 4205 01 restated as ""Canada Community - Building Fund for Operating expenses: Capacity Building"".",pdf_changelog
2021,10,10 4299 01,4299,01,,updated_line,minor,"SLC 10 4299 01 is restated as ""Canada Community - Building Fund Recognized in the year"".",pdf_changelog
2021,42,42 6009 01,6009,01,,updated_line,minor,"SLC 42 6009 01 is restated as ""Total COVID-19 Expenses as reported on SLC 40 9910 11"".",pdf_changelog
2021,53,53 0406 01,0406,01,Financing from Dedicated Revenue,updated_line,minor,Reserves and Reserve funds on SLC 53 0406 01 is calculated as (SLC 60 1012 02 + SLC 60 1012 03).,pdf_changelog
2021,53,53 0440 01,0440,01,Government Transfers,updated_line,minor,"SLC 53 0440 01 is restated as ""Canada Community - Building Fund - AMO (SLC 10 4099 01)"".",pdf_changelog
2021,60,60 0862 01,0862,01,"Obligatory Reserve Funds, Deferred Revenue",updated_line,minor,"SLC 60 0862 01 restated as ""Canada Community - Building Fund (Federal Gas Tax)"".",pdf_changelog
2021,60,60 1047 01,1047,01,"Obligatory Reserve Funds, Deferred Revenue",updated_line,minor,"SLC 60 1047 01 restated as ""Deferred revenue earned (Canada Community - Building Fund) (Federal Gas Tax)"".",pdf_changelog
2021,60,60 1048 01,1048,01,"Obligatory Reserve Funds, Deferred Revenue",updated_line,minor,"SLC 60 1048 01 restated as ""Deferred revenue earned (Canada Community - Building Fund for Capacity Building)"".",pdf_changelog
2021,60,60 5691 01,5691,01,"Obligatory Reserve Funds, Deferred Revenue",updated_line,minor,"SLC 60 5691 01 restated as ""Canada Community - Building Fund (Federal Gas Tax)"".",pdf_changelog
2021,72B,72 1000 xx,1000,,Continuity of Taxes Receivable,updated_line,minor,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.",pdf_changelog
2021,72B,72 1010 xx,1010,,Continuity of Taxes Receivable,updated_line,minor,Write-off of taxes (Mun. Act 354) on line 1010.,pdf_changelog
2021,72B,72 1020 xx,1020,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.",pdf_changelog
2021,72B,72 1030 xx,1030,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",pdf_changelog
